Общий викенд,Викенд в месяце,Месяц,Даты,Дней в викенде,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5,Март,с 29 март. 2018 по 01 апр. 2018,3,Сборы за сеанс,"8,876","5,279","4,541","4,262","5,347","3,560","3,137","2,568","5,078","2,001","5,430","1,629","4,238","3,685","3,016","2,510","5,722","1,191","1,661","3,252",,,,,,,
13,5,Март,с 29 март. 2018 по 01 апр. 2018,3,Среднее количество зрителей,29,25,17,15,20,12,12,14,15,8,18,8,18,17,9,12,18,9,7,14,,,,,,,
14,1,Апрель,с 05 апр. 2018 по 08 апр. 2018,3,Фильм,Гоголь. Вий,Первому игроку приготовиться,Кролик Питер,Тихоокеанский рубеж 2,"Винчестер. Дом, который построили призраки",Жажда смерти,Каникулы Президента,Я худею,Не в себе,Мария Магдалина,Тихое место,Tomb Raider: Лара Крофт,"Операция ""Шаровая молния""",Белль и Себастьян,Невероятная история о гигантской груше,Девушки и танки,Тебя никогда здесь не было,Пассажир,МУЛЬТ в кино. Выпуск № 72,Шерлок Гномс,,,,,,,
14,1,Апрель,с 05 апр. 2018 по 08 апр. 2018,3,Сборы,"207,255,384","146,507,423","38,579,161","25,748,727","25,711,717","24,866,818","8,117,565","7,166,734","5,760,789","4,640,028","4,145,709","3,590,336","3,307,051","3,248,163","3,063,315","2,101,796","1,667,248","1,376,312","1,344,083","1,252,148",,,,,,,
14,1,Апрель,с 05 апр. 2018 по 08 апр. 2018,3,Зрители,"790,817","478,920","178,144","99,420","93,358","80,370","31,270","29,882","22,015","13,776","13,027","16,236","10,396","12,868","14,844","9,175","5,734","4,569","11,298","6,479",,,,,,,
14,1,Апрель,с 05 апр. 2018 по 08 апр. 2018,3,Сеансы,"38,428","21,933","9,098","7,531","5,918","7,421","2,678","1,717","2,517","1,641",242,"1,488","1,691","1,021","2,031","1,552",384,343,"1,478",626,,,,,,,
14,1,Апрель,с 05 апр. 2018 по 08 апр. 2018,3,Сборы за сеанс,"5,393","6,679","4,240","3,419","4,344","3,350","3,031","4,173","2,288","2,827","17,131","2,412","1,955","3,181","1,508","1,354","4,341","4,012",909,"2,000",,,,,,,
14,1,Апрель,с 05 апр. 2018 по 08 апр. 2018,3,Среднее количество зрителей,20,21,19,13,15,10,11,17,8,8,53,10,6,12,7,5,14,13,7,10,,,,,,,
15,2,Апрель,с 12 апр. 2018 по 15 апр. 2018,3,Фильм,Рэмпейдж,Тихое место,Гоголь. Вий,Первому игроку приготовиться,Кролик Питер,Славные пташки,"Винчестер. Дом, который построили призраки",Тихоокеанский рубеж 2,Жажда смерти,Зачётный препод 3,Я худею,Белль и Себастьян,Республика Z,Мария Магдалина,Каникулы Президента,МУЛЬТ в кино. Выпуск №73,Невероятная история о гигантской груше,Большой злой лис и другие сказки,Тренер,Тебя никогда здесь не было,,,,,,,
15,2,Апрель,с 12 апр. 2018 по 15 апр. 2018,3,Сборы,"177,194,728","118,847,001","94,794,254","56,850,283","22,143,230","20,894,218","10,459,752","7,884,253","7,608,654","3,071,591","2,761,940","2,162,657","2,062,719","2,017,109","1,990,704","1,876,088","1,044,793","747,804","738,525","708,410",,,,,,,
15,2,Апрель,с 12 апр. 2018 по 15 апр. 2018,3,Зрители,"609,043","428,034","379,678","206,158","104,930","99,803","41,541","33,375","25,522","10,599","12,401","9,245","7,181","6,682","8,275","15,754","6,200","3,683","1,725","2,645",,,,,,,
15,2,Апрель,с 12 апр. 2018 по 15 апр. 2018,3,Сеансы,"33,190","16,928","23,037","9,597","4,570","8,548","3,265","2,666","2,778","1,274",709,634,108,849,682,"1,334",856,344,11,187,,,,,,,
15,2,Апрель,с 12 апр. 2018 по 15 апр. 2018,3,Сборы за сеанс,"5,338","7,020","4,114","5,923","4,845","2,444","3,203","2,957","2,738","2,410","3,895","3,411","19,099","2,375","2,918","1,406","1,220","2,173","67,138","3,788",,,,,,,
15,2,Апрель,с 12 апр. 2018 по 15 апр. 2018,3,Среднее количество зрителей,18,25,16,21,22,11,12,12,9,8,17,14,66,7,12,11,7,10,156,14,,,,,,,
